rank,character,series,kakera,pg,maxpg
1,Zero Two,DARLING in the FRANXX,1042,1,67
2,Rem,Re:Zero kara Hajimeru Isekai Seikatsu,1032,1,67
3,Hatsune Miku,VOCALOID,992,1,67
4,Megumin,Kono Subarashii Sekai ni Shukufuku wo!,1016,1,67
5,Mai Sakurajima,Seishun Buta Yarou,951,1,67
6,Rias Gremory,High School DxD,982,1,67
7,Satoru Gojo,Jujutsu Kaisen,996,1,67
8,Power,Chainsaw Man,951,1,67
9,Saber,Fate/stay night,955,1,67
10,Nami,One Piece,973,1,67
11,Asuna,Sword Art Online,973,1,67
12,Mikasa Ackerman,Attack on Titan,938,1,67
13,Nezuko Kamado,Kimetsu no Yaiba,942,1,67
14,Albedo,Overlord,894,1,67
15,Makima,Chainsaw Man,887,1,67
16,Miku Nakano,5-toubun no Hanayome,872,2,67
17,Nico Robin,One Piece,876,2,67
18,2B,NieR: Automata,832,2,67
19,Kirby,Kirby's Dream Land,772,2,67
20,Hange Zoë,Attack on Titan,734,2,67
21,Violet Evergarden,Violet Evergarden,835,2,67
22,Emilia,Re:Zero kara Hajimeru Isekai Seikatsu,855,2,67
23,Shinobu Kochou,Kimetsu no Yaiba,835,2,67
24,Aqua,Kono Subarashii Sekai ni Shukufuku wo!,862,2,67
25,Akame,Akame ga Kill!,832,2,67
26,Monkey D. Luffy,One Piece,902,2,67
27,Yumeko Jabami,Kakegurui,808,2,67
28,Marin Kitagawa,Sono Bisque Doll wa Koi wo Suru,737,2,67
29,Nino Nakano,5-toubun no Hanayome,751,2,67
30,Ram,Re:Zero kara Hajimeru Isekai Seikatsu,862,2,67
31,Himiko Toga,Boku no Hero Academia,782,3,67
32,Rin Tohsaka,Fate/stay night,751,3,67
33,Chika Fujiwara,Kaguya-sama wa Kokurasetai,769,3,67
34,Kaguya Shinomiya,Kaguya-sama wa Kokurasetai,749,3,67
35,Akeno Himejima,High School DxD,739,3,67
36,Esdeath,Akame ga Kill!,767,3,67
37,Kurumi Tokisaki,Date A Live,706,3,67
38,Roronoa Zoro,One Piece,826,3,67
39,Yor Forger,SPY×FAMILY,703,3,67
40,Nobara Kugisaki,Jujutsu Kaisen,695,3,67
41,Bongo Cat,Internet Cats,612,3,67
42,Erza Scarlet,Fairy Tail,708,3,67
43,Komi Shouko,"Komi-san wa, Comyushou desu.",671,3,67
44,Rei Ayanami,Neon Genesis Evangelion,673,3,67
45,Mitsuri Kanroji,Kimetsu no Yaiba,666,3,67
46,Levi,Attack on Titan,796,4,67
47,Asuka Langley Souryuu,Neon Genesis Evangelion,611,4,67
48,Hinata Hyuuga,Naruto,728,4,67
49,Gawr Gura,hololive,645,4,67
50,Ai Hayasaka,Kaguya-sama wa Kokurasetai,611,4,67
51,Yamato,One Piece,529,4,67
52,Maki Zenin,Jujutsu Kaisen,662,4,67
53,Sukuna,Jujutsu Kaisen,756,4,67
54,Shiro,No Game No Life,721,4,67
55,Boa Hancock,One Piece,619,4,67
56,Darkness,Kono Subarashii Sekai ni Shukufuku wo!,683,4,67
57,Yuji Itadori,Jujutsu Kaisen,710,4,67
58,Ai Hoshino,【OSHI NO KO】,529,4,67
59,Tohru,Kobayashi-san Chi no Maid Dragon,634,4,67
60,Neferpitou,Hunter × Hunter,478,4,67
61,Sinon,Sword Art Online,633,5,67
62,Truck-kun,🤔,459,5,67
63,Ochako Uraraka,Boku no Hero Academia,614,5,67
64,Raphtalia,Tate no Yuusha no Nariagari,651,5,67
65,Kurisu Makise,Steins;Gate,599,5,67
66,C.C.,Code Geass: Hangyaku no Lelouch,608,5,67
67,Chiaki Nanami,Danganronpa 2: Goodbye Despair,602,5,67
68,Eren Jaeger,Attack on Titan,701,5,67
69,Rikka Takanashi,Chuunibyou demo Koi ga Shitai!,557,5,67
70,Kanna Kamui,Kobayashi-san Chi no Maid Dragon,612,5,67
71,Frieren,Sousou no Frieren,569,5,67
72,Tatsumaki,One Punch Man,561,5,67
73,Ryuuko Matoi,Kill la Kill,563,5,67
74,Sanji,One Piece,685,5,67
75,Nyan Cat,Internet Cats,370,5,67
76,Killua Zoldyck,Hunter × Hunter,691,6,67
77,Itsuki Nakano,5-toubun no Hanayome,531,6,67
78,Lucy Heartfilia,Fairy Tail,550,6,67
79,Yotsuba Nakano,5-toubun no Hanayome,521,6,67
80,Megumi Fushiguro,Jujutsu Kaisen,622,6,67
81,Jolyne Cujoh,JoJo's Bizarre Adventure: Stone Ocean,576,6,67
82,Reze,Chainsaw Man,547,6,67
83,Misa Amane,Death Note,558,6,67
84,Mirko,Boku no Hero Academia,518,6,67
85,Jinx,League of Legends,525,6,67
86,Osamu Dazai,Bungou Stray Dogs,628,6,67
87,Rukia Kuchiki,BLEACH,517,6,67
88,Fubuki,One Punch Man,527,6,67
89,Joker,Persona 5,605,6,67
90,Annie Leonhart,Attack on Titan,453,6,67
91,Venom,Marvel,395,7,67
92,Nagatoro-san,"Ijiranaide, Nagatoro-san",521,7,67
93,Kyouko Hori,Hori-san to Miyamura-kun,518,7,67
94,Touka Kirishima,Tokyo Ghoul,505,7,67
95,Denji,Chainsaw Man,631,7,67
96,Yoruichi Shihōin,BLEACH,516,7,67
97,Chizuru Ichinose,"Kanojo, Okarishimasu",521,7,67
98,Toji Fushiguro,Jujutsu Kaisen,569,7,67
99,Misato Katsuragi,Neon Genesis Evangelion,462,7,67
100,Naruto Uzumaki,Naruto,679,7,67
101,Crona,Soul Eater,417,7,67
102,Kento Nanami,Jujutsu Kaisen,549,7,67
103,Katsuki Bakugou,Boku no Hero Academia,595,7,67
104,Tanjirou Kamado,Kimetsu no Yaiba,620,7,67
105,Tsuyu Asui,Boku no Hero Academia,492,7,67
106,Suguru Geto,Jujutsu Kaisen,540,8,67
107,L,Death Note,639,8,67
108,Anya Forger,SPY×FAMILY,498,8,67
109,Son Goku,Dragon Ball,657,8,67
110,Artoria Pendragon (Alter),Fate/stay night,403,8,67
111,Sasha Braus,Attack on Titan,482,8,67
112,Ichika Nakano,5-toubun no Hanayome,459,8,67
113,Shouko Nishimiya,Koe no Katachi,477,8,67
114,Taiga Aisaka,Toradora!,492,8,67
115,Kanao Tsuyuri,Kimetsu no Yaiba,442,8,67
116,Ken Kaneki,Tokyo Ghoul,598,8,67
117,Shoto Todoroki,Boku no Hero Academia,588,8,67
118,Yuno Gasai,Mirai Nikki,510,8,67
119,Guts,Berserk,576,8,67
120,Junko Enoshima,Danganronpa: Trigger Happy Havoc,476,8,67
121,Kyoko Kirigiri,Danganronpa: Trigger Happy Havoc,488,9,67
122,Kobeni Higashiyama,Chainsaw Man,432,9,67
123,BMO,Adventure Time,328,9,67
124,Echidna,Re:Zero kara Hajimeru Isekai Seikatsu,477,9,67
125,Lucoa,Kobayashi-san Chi no Maid Dragon,471,9,67
126,Dio Brando,JoJo's Bizarre Adventure: Phantom Blood,615,9,67
127,Tsunade,Naruto,495,9,67
128,Usagi Tsukino,Pretty Soldier Sailor Moon,417,9,67
129,Lucy,Cyberpunk: Edgerunners,411,9,67
130,Momo Yaoyorozu,Boku no Hero Academia,452,9,67
131,Kaori Miyazono,Shigatsu wa Kimi no Uso,440,9,67
132,Hestia,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,511,9,67
133,Jeanne d'Arc,Fate/Apocrypha,402,9,67
134,Ai Ohto,Wonder Egg Priority,406,9,67
135,Hu Tao,Genshin Impact,593,9,67
136,Shinobu Oshino,Monogatari,465,10,67
137,Izuku Midoriya,Boku no Hero Academia,572,10,67
138,Aki Hayakawa,Chainsaw Man,452,10,67
139,Roxy Migurdia,Mushoku Tensei,423,10,67
140,Trollface,🤔,224,10,67
141,Hitori Gotou,Bocchi the Rock!,412,10,67
142,Godzilla,Godzilla,319,10,67
143,Jotaro Kujo,JoJo's Bizarre Adventure: Stardust Crusaders,576,10,67
144,Asuka Langley Shikinami,Rebuild of Evangelion,240,10,67
145,Kyoujurou Rengoku,Kimetsu no Yaiba,482,10,67
146,Futaba Sakura,Persona 5,431,10,67
147,Giyuu Tomioka,Kimetsu no Yaiba,516,10,67
148,Himeno,Chainsaw Man,393,10,67
149,Leon S. Kennedy,Resident Evil 2,423,10,67
150,Ishtar,Fate/Grand Order,417,10,67
151,Itachi Uchiha,Naruto,536,11,67
152,Astolfo,Fate/Apocrypha,542,11,67
153,Bowsette,Super Crown,428,11,67
154,Krista Lenz,Attack on Titan,380,11,67
155,Sakura Haruno,Naruto,439,11,67
156,Yukino Yukinoshita,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,431,11,67
157,Madoka Kaname,Mahou Shoujo Madoka☆Magica,430,11,67
158,Alice Synthesis Thirty,Sword Art Online,375,11,67
159,Ada Wong,Resident Evil 2,334,11,67
160,Noelle Silva,Black Clover,418,11,67
161,Ann Takamaki,Persona 5,354,11,67
162,Mary Saotome,Kakegurui,401,11,67
163,Mori Calliope,hololive,404,11,67
164,Erina Nakiri,Shokugeki no Souma,446,11,67
165,Jeanne d'Arc (Alter),Fate/Grand Order,346,11,67
166,Inugami Korone,hololive,397,12,67
167,Sasuke Uchiha,Naruto,531,12,67
168,Ichigo Kurosaki,BLEACH,482,12,67
169,Nanika,Hunter × Hunter,231,12,67
170,Hitagi Senjougahara,Monogatari,390,12,67
171,Bulma,Dragon Ball,412,12,67
172,Cynthia,Pokémon Diamond/Pearl/Platinum,394,12,67
173,A2,NieR: Automata,345,12,67
174,Android 18,Dragon Ball Z,339,12,67
175,Marceline,Adventure Time,375,12,67
176,Sung Jin-Woo,Solo Leveling,469,12,67
177,Orihime Inoue,BLEACH,363,12,67
178,Raven,Teen Titans,406,12,67
179,Midnight,Boku no Hero Academia,339,12,67
180,Kurapika,Hunter × Hunter,477,12,67
181,Inosuke Hashibira,Kimetsu no Yaiba,467,13,67
182,Black Hanekawa,Monogatari,271,13,67
183,Choso,Jujutsu Kaisen,394,13,67
184,Jibril,No Game No Life,419,13,67
185,Kyouka Jirou,Boku no Hero Academia,356,13,67
186,Portgas D. Ace,One Piece,409,13,67
187,Amelia Watson,hololive,366,13,67
188,Yoru,Chainsaw Man,306,13,67
189,Ghostface,Scream,231,13,67
190,Yuta Okkotsu,Jujutsu Kaisen,415,13,67
191,Makoto Niijima,Persona 5,349,13,67
192,Kakashi Hatake,Naruto,470,13,67
193,Kagamine Rin,VOCALOID,370,13,67
194,Phosphophyllite,Houseki no Kuni,299,13,67
195,Nejire Hadou,Boku no Hero Academia,336,13,67
196,Mewtwo,Pokédex,234,14,67
197,Nao Tomori,Charlotte,389,14,67
198,Ichigo,DARLING in the FRANXX,426,14,67
199,Asa Mitaka,Chainsaw Man,311,14,67
200,Howl,Howl's Moving Castle,426,14,67
201,Tony Tony Chopper,One Piece,434,14,67
202,No-Face,Spirited Away,199,14,67
203,Sonic the Hedgehog,Sonic the Hedgehog,415,14,67
204,Homura Akemi,Mahou Shoujo Madoka☆Magica,371,14,67
205,Rio Futaba,Seishun Buta Yarou,387,14,67
206,Tamaki Kotatsu,Enen no Shouboutai,356,14,67
207,Mitsuha Miyamizu,Kimi no Na wa.,335,14,67
208,Raiden Shogun,Genshin Impact,474,14,67
209,Eris Boreas Greyrat,Mushoku Tensei,347,14,67
210,Mina Ashido,Boku no Hero Academia,348,14,67
211,Houshou Marine,hololive,322,15,67
212,Nene Yashiro,Jibaku Shounen Hanako-kun,366,15,67
213,Armin Arlert,Attack on Titan,397,15,67
214,Light Yagami,Death Note,456,15,67
215,Vladilena Milizé,86 -Eighty Six-,312,15,67
216,Shizuku Murasaki,Hunter × Hunter,278,15,67
217,Doge,🤔,281,15,67
218,Juvia Lockser,Fairy Tail,334,15,67
219,Ruby Hoshino,【OSHI NO KO】,286,15,67
220,Mordred,Fate/Apocrypha,334,15,67
221,Cha Hae-In,Solo Leveling,319,15,67
222,Tanya Degurechaff,Youjo Senki,307,15,67
223,Hoshimachi Suisei,hololive,304,15,67
224,Elizabeth Liones,Nanatsu no Taizai,300,15,67
225,Orochimaru,Naruto,221,15,67
226,Aigis,Persona 3,269,16,67
227,Zenitsu Agatsuma,Kimetsu no Yaiba,433,16,67
228,Gon Freecss,Hunter × Hunter,450,16,67
229,Pieck Finger,Attack on Titan,321,16,67
230,Maki Oze,Enen no Shouboutai,334,16,67
231,Elma,Kobayashi-san Chi no Maid Dragon,322,16,67
232,Spider-Man (Peter Parker),Marvel,397,16,67
233,Koneko Toujou,High School DxD,332,16,67
234,Kanae Kochou,Kimetsu no Yaiba,249,16,67
235,Shadow the Hedgehog,Sonic Adventure 2,359,16,67
236,Faye Valentine,Cowboy Bebop,305,16,67
237,Tifa Lockhart,Final Fantasy VII,358,16,67
238,Dabi,Boku no Hero Academia,422,16,67
239,Yui Hirasawa,K-ON!,302,16,67
240,Ganyu,Genshin Impact,448,16,67
241,Vi,League of Legends,316,17,67
242,Akane Kurokawa,【OSHI NO KO】,241,17,67
243,Mine,Akame ga Kill!,344,17,67
244,Harley Quinn (Harleen Quinzel),DC,283,17,67
245,Hana Uzaki,Uzaki-chan wa Asobitai!,302,17,67
246,Yoko,Tengen Toppa Gurren Lagann,317,17,67
247,Eri,Boku no Hero Academia,332,17,67
248,Perona,One Piece,295,17,67
249,Kana Arima,【OSHI NO KO】,257,17,67
250,Celestia Ludenberg,Danganronpa: Trigger Happy Havoc,322,17,67
251,Mew,Pokédex,219,17,67
252,Cloud Strife,Final Fantasy VII,356,17,67
253,Shouyou Hinata,Haikyuu!!,413,17,67
254,Aiz Wallenstein,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,314,17,67
255,Nanachi,Made in Abyss,279,17,67
256,Nero Claudius,Fate/EXTRA,284,18,67
257,Nagito Komaeda,Danganronpa 2: Goodbye Despair,401,18,67
258,Chuuya Nakahara,Bungou Stray Dogs,389,18,67
259,Toge Inumaki,Jujutsu Kaisen,373,18,67
260,Joseph Joestar,JoJo's Bizarre Adventure: Battle Tendency,422,18,67
261,Senko,Sewayaki Kitsune no Senko-san,322,18,67
262,Mash Kyrielight,Fate/Grand Order,282,18,67
263,Mt. Lady,Boku no Hero Academia,255,18,67
264,Booette,Super Crown,324,18,67
265,Foo Fighters,JoJo's Bizarre Adventure: Stone Ocean,215,18,67
266,Kobayashi,Kobayashi-san Chi no Maid Dragon,296,18,67
267,Ymir,Attack on Titan,270,18,67
268,Shinoa Hiiragi,Owari no Seraph,330,18,67
269,Nero,Black Clover,343,18,67
270,Spider-Gwen (Gwen Stacy),Marvel,229,18,67
271,Toph Beifong,Avatar: The Last Airbender,313,19,67
272,Mashiro Shiina,Sakurasou no Pet na Kanojo,322,19,67
273,Maka Albarn,Soul Eater,320,19,67
274,Kiana Kaslana,Honkai Impact 3rd,275,19,67
275,Alice Nakiri,Shokugeki no Souma,326,19,67
276,Revy,Black Lagoon,304,19,67
277,Kasumi Miwa,Jujutsu Kaisen,250,19,67
278,Raiden Mei,Honkai Impact 3rd,281,19,67
279,Wojak,🤔,153,19,67
280,Nazuna Nanakusa,Yofukashi no Uta,275,19,67
281,Wiz,Kono Subarashii Sekai ni Shukufuku wo!,333,19,67
282,Xenovia Quarta,High School DxD,288,19,67
283,Chitoge Kirisaki,Nisekoi,303,19,67
284,Megurine Luka,VOCALOID,309,19,67
285,Trafalgar Law,One Piece,357,19,67
286,Eru Chitanda,Hyouka,298,20,67
287,Leone,Akame ga Kill!,283,20,67
288,Kirari Momobami,Kakegurui,267,20,67
289,Sumi Sakurasawa,"Kanojo, Okarishimasu",298,20,67
290,Usada Pekora,hololive,308,20,67
291,Osana Najimi,"Komi-san wa, Comyushou desu.",197,20,67
292,Gunter,Adventure Time,168,20,67
293,Sakura Matou,Fate/stay night,281,20,67
294,Ruka Sarashina,"Kanojo, Okarishimasu",293,20,67
295,Casca,Berserk,302,20,67
296,Hanako-kun,Jibaku Shounen Hanako-kun,383,20,67
297,Ibuki Mioda,Danganronpa 2: Goodbye Despair,311,20,67
298,Nefertari Vivi,One Piece,225,20,67
299,Tengen Uzui,Kimetsu no Yaiba,344,20,67
300,Mirai Kuriyama,Kyoukai no Kanata,275,20,67
301,Ninomae Ina'nis,hololive,277,21,67
302,Alluka Zoldyck,Hunter × Hunter,252,21,67
303,Rangiku Matsumoto,BLEACH,258,21,67
304,Batman (Bruce Wayne),DC,358,21,67
305,Akaza,Kimetsu no Yaiba,308,21,67
306,Hawks,Boku no Hero Academia,356,21,67
307,Schwi Dola,No Game No Life,265,21,67
308,Uta,One Piece Film: Red,227,21,67
309,Holo,Ookami to Koushinryou,290,21,67
310,Shirakami Fubuki,hololive,283,21,67
311,Mio Akiyama,K-ON!,278,21,67
312,Nelliel Tu Odelschwanck,BLEACH,248,21,67
313,Shalltear Bloodfallen,Overlord,292,21,67
314,Daki,Kimetsu no Yaiba,250,21,67
315,Shikimori-san,Kawaii dake ja Nai Shikimori-san,260,21,67
316,Starfire,Teen Titans,266,22,67
317,Elaina,Majo no Tabitabi,282,22,67
318,Edward Elric,Fullmetal Alchemist,359,22,67
319,Yunyun,Kono Subarashii Sekai ni Shukufuku wo!,292,22,67
320,Usopp,One Piece,335,22,67
321,Mei Hatsume,Boku no Hero Academia,227,22,67
322,Mikan Tsumiki,Danganronpa 2: Goodbye Despair,275,22,67
323,Eevee,Pokédex,211,22,67
324,Nico Yazawa,Love Live! School idol project,274,22,67
325,Tohka Yatogami,Date A Live,285,22,67
326,Mei Misaki,Another,251,22,67
327,Fern,Sousou no Frieren,286,22,67
328,Winry Rockbell,Fullmetal Alchemist,280,22,67
329,Caitlyn,League of Legends,242,22,67
330,Hello Kitty,Hello Kitty,255,22,67
331,Destiny,{ tákt op. },238,23,67
332,Shigeo Kageyama,Mob Psycho 100,351,23,67
333,Giorno Giovanna,JoJo's Bizarre Adventure: Golden Wind,364,23,67
334,Chelsea,Akame ga Kill!,246,23,67
335,Saitama,One Punch Man,383,23,67
336,Suzune Horikita,Classroom of the Elite,269,23,67
