rank,character,series,kakera,pg,maxpg
675,Irina Jelavić,Assassination Classroom,163,45,67
676,Aerith Gainsborough,Final Fantasy VII,191,46,67
677,Blackfire,Teen Titans,141,46,67
678,Mitsuru Kirijo,Persona 3,168,46,67
679,Ami Mizuno,Pretty Soldier Sailor Moon,151,46,67
680,Inuyasha,InuYasha,228,46,67
681,Evangelion Unit-02,Neon Genesis Evangelion,97,46,67
682,Murata Himeko,Honkai Impact 3rd,150,46,67
683,Gaara,Naruto,233,46,67
684,Yoichi Isagi,Blue Lock,225,46,67
685,Mako Mankanshoku,Kill la Kill,182,46,67
686,Kamisato Ayaka,Genshin Impact,238,46,67
687,Rika Orimoto,Jujutsu Kaisen,122,46,67
688,Kaworu Nagisa,Neon Genesis Evangelion,219,46,67
689,Roy Mustang,Fullmetal Alchemist,237,46,67
690,Mizuki Akiyama,Project SEKAI: Colorful Stage!,207,46,67
691,Albedo (GI),Genshin Impact,224,47,67
692,Ookami Mio,hololive,168,47,67
693,Pain,Naruto,219,47,67
694,Shirogane Noel,hololive,168,47,67
695,Natsuki,Doki Doki Literature Club!,241,47,67
696,Atsushi Nakajima,Bungou Stray Dogs,212,47,67
697,Akira Fudou,Devilman,199,47,67
698,Yuri,Doki Doki Literature Club!,249,47,67
699,Nijika Ijichi,Bocchi the Rock!,159,47,67
700,Mona,Genshin Impact,245,47,67
701,Sakura Miko,hololive,171,47,67
702,Freddy Fazbear,Five Nights at Freddy's 1,186,47,67
703,Ditto,Pokédex,123,47,67
704,Ghislaine Dedoldia,Mushoku Tensei,161,47,67
705,Levy McGarden,Fairy Tail,162,47,67
706,Yui (SAO),Sword Art Online,155,48,67
707,Yoshino,Date A Live,189,48,67
708,Bayonetta,Bayonetta,221,48,67
709,Tsunomaki Watame,hololive,168,48,67
710,Trish Una,JoJo's Bizarre Adventure: Golden Wind,169,48,67
711,Jean Kirstein,Attack on Titan,192,48,67
712,Yoshikage Kira,JoJo's Bizarre Adventure: Diamond Is Unbreakable,229,48,67
713,William Afton,Five Nights at Freddy's 2,171,48,67
714,Bruno Bucciarati,JoJo's Bizarre Adventure: Golden Wind,217,48,67
715,Thorfinn,Vinland Saga,224,48,67
716,Veliona,Honkai Impact 3rd,144,48,67
717,Sarada Uchiha,Boruto: Naruto Next Generations,148,48,67
718,Arataki Itto,Genshin Impact,231,48,67
719,Kizuna AI,Kizuna AI Inc.,163,48,67
720,Panty Anarchy,Panty & Stocking with Garterbelt,182,48,67
721,Zack,Angels of Death,210,49,67
722,The Giant Rat That Makes All of the Rules,Rat Movie,141,49,67
723,Megumi Tadokoro,Shokugeki no Souma,174,49,67
724,Lala Satalin Deviluke,To LOVE-Ru,178,49,67
725,Lola Bunny,Space Jam,132,49,67
726,Luigi,Super Mario Bros.,220,49,67
727,AE3803,Hataraku Saibou,130,49,67
728,Sayu Ogiwara,Hige wo Soru. Soshite Joshikosei wo Hiro.,179,49,67
729,SCP-049,SCP Foundation,130,49,67
730,Miles Edgeworth,Phoenix Wright: Ace Attorney,196,49,67
731,Rouge the Bat,Sonic Adventure 2,157,49,67
732,Misaki Ayuzawa,Kaichou wa Maid-sama!,169,49,67
733,Meiko Honma,Anohana: The Flower We Saw That Day,165,49,67
734,Yoriichi Tsugikuni,Kimetsu no Yaiba,169,49,67
735,Komi Shuuko,"Komi-san wa, Comyushou desu.",108,49,67
736,Rei Miyamoto,Highschool of the Dead,139,50,67
737,Carnage,Marvel,122,50,67
738,Artoria Pendragon (Lancer),Fate/Grand Order,139,50,67
739,Ponyo,Ponyo,175,50,67
740,Hanami,Jujutsu Kaisen,98,50,67
741,Mario,Super Mario Bros.,234,50,67
742,Gilgamesh,Fate/stay night,235,50,67
743,Douma,Kimetsu no Yaiba,203,50,67
744,Princess of Klaxosaurs,DARLING in the FRANXX,145,50,67
745,Koushi Sugawara,Haikyuu!!,210,50,67
746,Sans,UNDERTALE,256,50,67
747,Rise Kujikawa,Persona 4,163,50,67
748,Konjiki no Yami,To LOVE-Ru,184,50,67
749,Funtime Foxy,Five Nights at Freddy's: Sister Location,112,50,67
750,SpongeBob SquarePants,SpongeBob SquarePants,215,50,67
751,Yuki Nagato,Suzumiya Haruhi no Yuuutsu,188,51,67
752,Phoenix Wright,Phoenix Wright: Ace Attorney,190,51,67
753,Nagisa Shiota,Assassination Classroom,217,51,67
754,Collei,Genshin Impact,139,51,67
755,Nightwing (Dick Grayson),DC,186,51,67
756,Sonia Nevermind,Danganronpa 2: Goodbye Despair,173,51,67
757,Videl,Dragon Ball Z,154,51,67
758,Aether,Genshin Impact,201,51,67
759,Kasane Teto,UTAU,192,51,67
760,Kurenai Yuuhi,Naruto,111,51,67
761,May,Pokémon Ruby/Sapphire/Emerald,175,51,67
762,Alphonse Elric,Fullmetal Alchemist,207,51,67
763,Yelan,Genshin Impact,224,51,67
764,Sabito,Kimetsu no Yaiba,189,51,67
765,Reki Kyan,SK∞,212,51,67
766,Shylily,Independent Virtual YouTubers,153,52,67
767,Tooru Hagakure,Boku no Hero Academia,133,52,67
768,Aki Adagaki,Masamune-kun no Revenge,156,52,67
769,Koro-sensei,Assassination Classroom,206,52,67
770,Alhaitham,Genshin Impact,206,52,67
771,Oozora Subaru,hololive,163,52,67
772,Reimu Hakurei,Touhou Koumakyou ~ the Embodiment of Scarlet Devil,188,52,67
773,Mavis Vermillion,Fairy Tail,163,52,67
774,Yumemi Yumemite,Kakegurui,137,52,67
775,Kei Karuizawa,Classroom of the Elite,163,52,67
776,Sōsuke Aizen,BLEACH,221,52,67
777,The Joker,DC,167,52,67
778,Sophie Hatter,Howl's Moving Castle,151,52,67
779,Cinnamoroll,Cinnamoroll,176,52,67
780,Lugia,Pokédex,121,52,67
781,Sword Maiden,Goblin Slayer,139,53,67
782,Kenjaku,Jujutsu Kaisen,99,53,67
783,Sayori,Doki Doki Literature Club!,230,53,67
784,GIR,Invader Zim,143,53,67
785,Retsu Unohana,BLEACH,157,53,67
786,Hakos Baelz,hololive,152,53,67
787,Kokushibou,Kimetsu no Yaiba,185,53,67
788,Natsumi,Date A Live,155,53,67
789,Biscuit Krueger,Hunter × Hunter,153,53,67
790,Yami Yugi,Yu-Gi-Oh! Duel Monsters,168,53,67
791,Coraline Jones,Coraline,154,53,67
792,Nana Komatsu,Nana,174,53,67
793,The World,JoJo's Bizarre Adventure: Stardust Crusaders,105,53,67
794,Miles 'Tails' Prower,Sonic the Hedgehog 2,179,53,67
795,Shouya Ishida,Koe no Katachi,180,53,67
796,Rui Tachibana,Domestic na Kanojo,171,54,67
797,Gintoki Sakata,Gintama,204,54,67
798,Meruccubus,Meru The Succubus,160,54,67
799,Lumine,Genshin Impact,212,54,67
800,Sawako Kuronuma,Kimi ni Todoke,174,54,67
801,Jeanne,Vanitas no Carte,167,54,67
802,Aoi Akane,Jibaku Shounen Hanako-kun,154,54,67
803,Obito Uchiha,Naruto,209,54,67
804,Super Sonico,Nitroplus Mascots,150,54,67
805,Ayame Kajou,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,145,54,67
806,Xenomorph,Alien,113,54,67
807,Caesar A. Zeppeli,JoJo's Bizarre Adventure: Battle Tendency,186,54,67
808,Arcueid Brunestud,Tsukihime,144,54,67
809,Mai,Avatar: The Last Airbender,171,54,67
810,Finn,Adventure Time,195,54,67
811,Yui,Angel Beats!,174,55,67
812,Legosi,BEASTARS,217,55,67
813,Beidou,Genshin Impact,223,55,67
814,Mikaela Hyakuya,Owari no Seraph,217,55,67
815,Kokoro,DARLING in the FRANXX,141,55,67
816,Pikachu,Pokémon: Indigo League,236,55,67
817,Han Sooyoung,Omniscient Reader's Viewpoint,175,55,67
818,Izuna Hatsuse,No Game No Life,146,55,67
819,Gigachad,🤔,140,55,67
820,Frederica Baumann,Re:Zero kara Hajimeru Isekai Seikatsu,123,55,67
821,Tomoe Koga,Seishun Buta Yarou,148,55,67
822,Chel,The Road to El Dorado,123,55,67
823,Sakuya Izayoi,Touhou Koumakyou ~ the Embodiment of Scarlet Devil,188,55,67
824,D.Va,Overwatch,208,55,67
825,Gyoumei Himejima,Kimetsu no Yaiba,159,55,67
826,Silica,Sword Art Online,147,56,67
827,Xie Lian,Tian Guan Ci Fu,205,56,67
828,Hitoshi Shinsou,Boku no Hero Academia,187,56,67
829,2D,Gorillaz,156,56,67
830,Kyouka Izumi,Bungou Stray Dogs,167,56,67
831,Soul Eater Evans,Soul Eater,203,56,67
832,Reiner Braun,Attack on Titan,183,56,67
833,Mirio Togata,Boku no Hero Academia,193,56,67
834,Espeon,Pokédex,116,56,67
835,Tomo Aizawa,Tomo-chan wa Onnanoko!,141,56,67
836,Ty Lee,Avatar: The Last Airbender,163,56,67
837,Star Butterfly,Star vs. the Forces of Evil,145,56,67
838,Flame Princess,Adventure Time,127,56,67
839,Quinella,Sword Art Online,139,56,67
840,Kaho Hinata,Blend S,138,56,67
841,Narberal Gamma,Overlord,157,57,67
842,Rin Nohara,Naruto,119,57,67
843,Spider Demon (Mother),Kimetsu no Yaiba,120,57,67
844,Pepe,🤔,190,57,67
845,Sakura Kinomoto,Cardcaptor Sakura,174,57,67
846,Freya,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,148,57,67
847,Totoro,My Neighbor Totoro,182,57,67
848,Rebecca (OP),One Piece,124,57,67
849,Loona,Helluva Boss,172,57,67
850,Vermeil,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,152,57,67
851,Yukari Takeba,Persona 3,144,57,67
852,Mei Terumi,Naruto,120,57,67
853,Maki Nishikino,Love Live! School idol project,163,57,67
854,Jessica Rabbit,Who Framed Roger Rabbit,122,57,67
855,Kureiji Ollie,hololive,142,57,67
856,Abigail Jones,Great Pretender,131,58,67
857,Squirtle,Pokédex,105,58,67
858,Jean,Genshin Impact,216,58,67
859,Ryuji Sakamoto,Persona 5,186,58,67
860,Ray,Yakusoku no Neverland,217,58,67
861,Lust,Fullmetal Alchemist,154,58,67
862,Tashigi,One Piece,122,58,67
863,Chie Satonaka,Persona 4,155,58,67
864,Toyomi Fujiwara,Kaguya-sama wa Kokurasetai,98,58,67
865,Amity Blight,The Owl House,169,58,67
866,Claire Redfield,Resident Evil 2,148,58,67
867,Sanic,🤔,145,58,67
868,Charlie Morningstar,Hazbin Hotel,145,58,67
869,Mabel Pines,Gravity Falls,154,58,67
870,Suzuha Amane,Steins;Gate,148,58,67
871,Adult Neptune,Megadimension Neptunia VII,108,59,67
872,Pyro,Team Fortress 2,123,59,67
873,Fischl,Genshin Impact,209,59,67
874,Bowser,Super Mario Bros.,169,59,67
875,Akari Watanabe,"Fuufu Ijou, Koibito Miman.",151,59,67
876,Satanichia McDowell Kurumizawa,Gabriel DropOut,163,59,67
877,Fu Hua,Honkai Impact 3rd,158,59,67
878,Mami Nanami,"Kanojo, Okarishimasu",150,59,67
879,Elsa,Frozen,146,59,67
880,Mayoi Hachikuji,Monogatari,160,59,67
881,Marnie,Pokémon Sword/Shield,159,59,67
882,Knuckles the Echidna,Sonic the Hedgehog 3,160,59,67
883,Ironmouse,VShojo,163,59,67
884,Adrien Agreste,Miraculous: Tales of Ladybug & Cat Noir,177,59,67
885,Keiji Akaashi,Haikyuu!!,189,59,67
886,Atsumu Miya,Haikyuu!!,179,60,67
887,Koala,One Piece,125,60,67
888,Ami Kawashima,Toradora!,133,60,67
889,Jake,Adventure Time,186,60,67
890,Grimmjow Jaegerjaquez,BLEACH,178,60,67
891,Darth Vader,Star Wars Original Trilogy,185,60,67
892,Mamako Oosuki,Tsujou Kogeki ga Zentai Kogeki de Ni-kai Kogeki no Okaa-san wa Suki Desuka?,136,60,67
893,MEIKO,VOCALOID,165,60,67
894,Ash Ketchum,Pokémon: Indigo League,169,60,67
895,Kagura,Gintama,163,60,67
896,Yami Sukehiro,Black Clover,201,60,67
897,Helen Parr,The Incredibles,113,60,67
898,Amelie Azazel,Mairimashita! Iruma-kun,151,60,67
899,Fiona Frost,SPY×FAMILY,120,60,67
900,Jewelry Bonney,One Piece,127,60,67
901,Langa Hasegawa,SK∞,195,61,67
902,Tsukasa Yugi,Jibaku Shounen Hanako-kun,161,61,67
903,Tenten,Naruto,146,61,67
904,Erza Knightwalker,Fairy Tail,105,61,67
905,Yoimiya,Genshin Impact,205,61,67
906,Cinnabar,Houseki no Kuni,134,61,67
907,Foxy,Five Nights at Freddy's 1,163,61,67
908,Meliodas,Nanatsu no Taizai,214,61,67
909,Takina Inoue,Lycoris Recoil,154,61,67
910,IA,VOCALOID,160,61,67
911,Rainbow Dash,My Little Pony: Friendship Is Magic,163,61,67
912,Ahsoka Tano,Star Wars: The Clone Wars,143,61,67
913,Jigglypuff,Pokémon: Indigo League,105,61,67
914,Enkidu,Fate/strange Fake,133,61,67
915,Elaine,Nanatsu no Taizai,137,61,67
916,Twilight Sparkle,My Little Pony: Friendship Is Magic,147,62,67
917,Poison Ivy (Pamela Isley),DC,145,62,67
918,Fluttershy,My Little Pony: Friendship Is Magic,173,62,67
919,Shiki Ryougi,Kara no Kyoukai: The Garden of Sinners,145,62,67
920,Jiraiya,Naruto,180,62,67
921,Scarlet Witch (Wanda Maximoff),Marvel,157,62,67
922,Michiru Kagemori,BNA: Brand New Animal,161,62,67
923,Genya Shinazugawa,Kimetsu no Yaiba,151,62,67
924,Ainz Ooal Gown,Overlord,191,62,67
925,Shura Kirigakure,Ao no Exorcist,130,62,67
926,Ms. Joke,Boku no Hero Academia,117,62,67
927,SCP-3008,SCP Foundation,88,62,67
928,Kefla,Dragon Ball Super,135,62,67
929,Gray Fullbuster,Fairy Tail,194,62,67
930,Makoto Naegi,Danganronpa: Trigger Happy Havoc,183,62,67
931,🎀OMGkawaii🎀Angel-chan,NEEDY GIRL OVERDOSE,156,63,67
932,Yukana Yame,Hajimete no Gal,135,63,67
933,Guido Mista,JoJo's Bizarre Adventure: Golden Wind,185,63,67
934,Bread,I Am Bread,137,63,67
935,Aquarius,Fairy Tail,134,63,67
936,Kim Possible,Kim Possible,122,63,67
937,Meguru Bachira,Blue Lock,192,63,67
938,Shikamaru Nara,Naruto,190,63,67
939,Ben Drowned,Creepypasta,112,63,67
940,Kyuubey,Mahou Shoujo Madoka☆Magica,117,63,67
941,Yuno,Black Clover,205,63,67
942,Frisk,UNDERTALE,159,63,67
943,Seishiro Nagi,Blue Lock,189,63,67
944,Osaka,Azumanga Daioh,148,63,67
945,Jinbe,One Piece,176,63,67
946,Sangonomiya Kokomi,Genshin Impact,193,64,67
947,Durandal,Honkai Impact 3rd,130,64,67
948,Fyodor Dostoevsky,Bungou Stray Dogs,176,64,67
949,Derieri,Nanatsu no Taizai,132,64,67
950,Vash the Stampede,Trigun,177,64,67
951,Illumi Zoldyck,Hunter × Hunter,170,64,67
952,Rin,Shelter,172,64,67
953,Iroha Isshiki,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,152,64,67
954,Haruhi Fujioka,Ouran High School Host Club,174,64,67
955,Tomoe,Kamisama Hajimemashita,199,64,67
956,Paimon,Genshin Impact,201,64,67
957,Tamaki Suoh,Ouran High School Host Club,184,64,67
958,Rock Lee,Naruto,182,64,67
959,Arisu Sakayanagi,Classroom of the Elite,130,64,67
960,Mahiru Shiina,Otonari no Tenshi-sama ni Itsu no Ma ni ka Dame Ningen ni Sareteita Ken,156,64,67
961,Feitan Portor,Hunter × Hunter,171,65,67
962,Isuzu Sento,Amagi Brilliant Park,149,65,67
963,Shenhe,Genshin Impact,198,65,67
964,Near,Death Note,163,65,67
965,Vivy,Vivy -Fluorite Eye's Song-,167,65,67
966,Polish Cow,🤔,66,65,67
967,Mari Makinami Illustrious,Rebuild of Evangelion,118,65,67
968,Seishirou Tsugumi,Nisekoi,138,65,67
969,Oda Nobunaga,Fate/KOHA-ACE,145,65,67
970,Coconut,Nekopara,152,65,67
971,Reshiram,Pokédex,111,65,67
972,High Elf Archer,Goblin Slayer,137,65,67
973,Sadayo Kawakami,Persona 5,137,65,67
974,Duo,Duolingo,112,65,67
975,Hifumi Togo,Persona 5,124,65,67
976,Pinkie Pie,My Little Pony: Friendship Is Magic,154,66,67
977,Bill Cipher,Gravity Falls,169,66,67
978,Jahy,Jahy-sama wa Kujikenai!,151,66,67
979,Hajime Hinata,Danganronpa 2: Goodbye Despair,187,66,67
980,Yukihana Lamy,hololive,132,66,67
981,Aventurine,Honkai: Star Rail,179,66,67
982,Kiki,Kiki's Delivery Service,135,66,67
983,Hina Amano,Tenki no Ko,140,66,67
984,Chara,UNDERTALE,168,66,67
985,Jessie's Mimikyu,Pokémon the Series: Sun & Moon,96,66,67
986,Toothless,How To Train Your Dragon,161,66,67
987,Amane Kanata,hololive,139,66,67
988,Amadeus,Steins;Gate 0,103,66,67
989,Firefly,Honkai: Star Rail,167,66,67
990,Fumikage Tokoyami,Boku no Hero Academia,162,66,67
991,Rohan Kishibe,JoJo's Bizarre Adventure: Diamond Is Unbreakable,183,67,67
992,Sae Niijima,Persona 5,136,67,67
993,Kou Minamoto,Jibaku Shounen Hanako-kun,176,67,67
994,Melascula,Nanatsu no Taizai,122,67,67
995,Kisuke Urahara,BLEACH,178,67,67
996,Ougi Oshino,Monogatari,129,67,67
997,Seras Victoria,Hellsing,155,67,67
998,Sesshomaru,InuYasha,174,67,67
999,Kyuusaku Yumeno,Bungou Stray Dogs,111,67,67
1000,Yuna (SAO),Sword Art Online,119,67,67
